"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -0.8380929108580695
2 -1.211711053473874
3 -1.417575195406298
4 -1.537184370411302
5 -1.602472497169644
6 -1.639752950224484
7 -1.662352942052335
8 -1.675917865113667
9 -1.684342530482027
10 -1.689646973300659
11 -1.693539817060247
12 -1.696344642067636
13 -1.69856640307885
14 -1.700258152489851
15 -1.701619847704527
16 -1.702664383232446
17 -1.703489374373182
18 -1.70407519158464
19 -1.70451648304598
20 -1.704824687555218
21 -1.705059303690996
22 -1.705223180161781
23 -1.705346017794604
24 -1.705421800641357
25 -1.705460693754701
26 -1.705487530710508
27 -1.705505150911332
28 -1.705516305886099
29 -1.705525018247454
30 -1.705532335963692
31 -1.705540197020769
32 -1.705548978392172
33 -1.705559267542446
34 -1.705571081802405
35 -1.70558470432559
36 -1.705597356780062
37 -1.705607930124753
38 -1.705618580258571
39 -1.705629663770545
40 -1.705641543443794
41 -1.705653574246833
42 -1.705666227951073
43 -1.705677593134449
44 -1.705688530672433
45 -1.705698369448559
46 -1.705707380995805
47 -1.705715066250747
48 -1.70572180665784
49 -1.705725770638098
50 -1.705727921699093
51 -1.705728624614819
52 -1.705728658973898
53 -1.705727743342652
54 -1.70572648066285
55 -1.705724551682262
56 -1.705722537379382
57 -1.705720087373798
58 -1.705717760472808
59 -1.705715182678423
60 -1.705712894365988
61 -1.705710497317532
62 -1.70570850726421
63 -1.705706497784842
64 -1.705704959735298
65 -1.705703439798705
66 -1.705702408509176
67 -1.705701394763914
68 -1.705700809149055
69 -1.705700294149626
70 -1.705700141979992
71 -1.70570002348504
