"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -0.8380929108580695
2 -1.211721149869772
3 -1.417803468812734
4 -1.538237108748531
5 -1.603895071984493
6 -1.640932146282053
7 -1.663113182673956
8 -1.676347386221193
9 -1.685004228002966
10 -1.69053146445604
11 -1.694492387121082
12 -1.697339515028147
13 -1.6995079220139
14 -1.701129270025311
15 -1.702357044489833
16 -1.703256067663847
17 -1.703928653961325
18 -1.704383715392098
19 -1.704713966783955
20 -1.704945524929286
21 -1.705124242177742
22 -1.705254589295303
23 -1.705355765737512
24 -1.705420465480054
25 -1.705460228505939
26 -1.705481796803396
27 -1.705499597170668
28 -1.705510613563898
29 -1.705519553830983
30 -1.705527040428139
31 -1.705535308115129
32 -1.705544317870686
33 -1.705555026097645
34 -1.705567038656742
35 -1.705581022845347
36 -1.705594351526271
37 -1.705605456745873
38 -1.705616225648646
39 -1.705627558414538
40 -1.705639445958651
41 -1.705651688249469
42 -1.705664341276667
43 -1.705675922377625
44 -1.70568685366366
45 -1.705696929983974
46 -1.705705958247882
47 -1.70571389796927
48 -1.705720665963058
49 -1.705725122216252
50 -1.705727382516305
51 -1.705728352411387
52 -1.705728400966597
53 -1.705727716599664
54 -1.705726437476794
55 -1.705724704071069
56 -1.705722635391821
57 -1.705720345900826
58 -1.705717932831721
59 -1.705715487846989
60 -1.705713088236634
61 -1.705710802009073
62 -1.705708681609365
63 -1.70570676759099
64 -1.705705086505354
65 -1.705703653533762
66 -1.705702473291226
67 -1.705701543580193
68 -1.705700854112121
69 -1.705700389214314
70 -1.705700128697706
71 -1.705700049648214
