"surf-mon-rfile"
"Iteration" "surf-mon"
("Iteration" "surf-mon")
1 -1.619689841630863
2 -2.355660549773059
3 -2.729746621588747
4 -2.914958548368856
5 -3.007179137539129
6 -3.052731140959898
7 -3.074566894882066
8 -3.084641968021906
9 -3.088563113617771
10 -3.089507379013901
11 -3.088958645937011
12 -3.087840869767432
13 -3.086509635507761
14 -3.085286565694869
15 -3.084222106617015
16 -3.083421898493987
17 -3.08288722889224
18 -3.082574787054385
19 -3.082425443799595
20 -3.082384021134899
21 -3.082406246953272
22 -3.082460001486903
23 -3.082521592521179
24 -3.082578692594897
25 -3.082625094867727
26 -3.082657750211413
27 -3.082675323572678
28 -3.082682235112698
29 -3.082681247536854
30 -3.08267607479965
31 -3.082668913298173
32 -3.082661947636427
33 -3.08265615717036
34 -3.082652097580821
35 -3.082649356310291
36 -3.082648048737368
37 -3.082647577895962
38 -3.082647779142521
39 -3.082648250156155
40 -3.082648895324899
41 -3.082649509566739
42 -3.082650074317935
43 -3.082650562616914
44 -3.082650969466485
45 -3.082651156012081
46 -3.08265119186575
47 -3.082651079774442
48 -3.082650985660349
49 -3.082650894300484
50 -3.082650816177654
51 -3.082650744116162
52 -3.082650712258347
53 -3.082650678402644
54 -3.082650687745192
55 -3.08265067819558
