"surf-mon-rfile"
"Iteration" "surf-mon"
("Iteration" "surf-mon")
1 -0.7891866973356086
2 -1.17493161468926
3 -1.376573519786945
4 -1.482407228732092
5 -1.537320613932897
6 -1.56332770504475
7 -1.576293127081854
8 -1.583521508937799
9 -1.587820101574914
10 -1.590803080951934
11 -1.593548774436736
12 -1.596481737375232
13 -1.599662738670127
14 -1.60358862055107
15 -1.607916679594616
16 -1.612296791821661
17 -1.616508498252164
18 -1.620365146692248
19 -1.623791988008493
20 -1.626508103771037
21 -1.629281295033303
22 -1.632360523123431
23 -1.641784591771093
24 -1.647970175518295
25 -1.650049050977015
26 -1.649233192781989
27 -1.647714069245465
28 -1.645766213380956
29 -1.643964399397761
30 -1.642195103852192
31 -1.641490439237769
32 -1.64040113432538
33 -1.638741320363439
34 -1.637542518485948
35 -1.638112800360011
36 -1.637980905182541
37 -1.636889085070887
38 -1.636182202144237
39 -1.636708268761
40 -1.636618818953022
41 -1.638925240111184
42 -1.636229238110788
43 -1.633337041076171
44 -1.630881333841863
45 -1.630782877334739
46 -1.631309652983739
47 -1.632868025435019
48 -1.635607603206346
49 -1.644191135450083
50 -1.65033411310168
51 -1.652294996170561
52 -1.651235526559523
53 -1.648545733799246
54 -1.646056816479866
55 -1.642510069945694
56 -1.639396388256352
57 -1.637961994185219
58 -1.638275287446184
59 -1.638173914060448
60 -1.63735824135392
61 -1.63756060286873
62 -1.639671480385814
63 -1.640899232548437
64 -1.641383647427869
65 -1.642302781196256
66 -1.644761572955723
67 -1.645379077411511
68 -1.647490287000745
69 -1.646677145756384
70 -1.645579016124895
71 -1.643781931070174
72 -1.64202109177293
73 -1.640523527569282
74 -1.639729038565431
75 -1.638403582456904
76 -1.63714577885468
77 -1.636723736475514
78 -1.638475732151386
79 -1.639664492607091
80 -1.639872199935516
81 -1.640638054131328
82 -1.643561925160095
83 -1.6460186149585
84 -1.646671663140109
85 -1.645177879232986
86 -1.642833285488189
87 -1.6421701760849
88 -1.64493794795252
89 -1.646726276355956
90 -1.646394910311965
91 -1.645666197633628
92 -1.646481698098194
93 -1.645864045157075
94 -1.643424661528009
95 -1.641092023414767
96 -1.64010515204208
97 -1.638719720207795
98 -1.63789714393148
99 -1.636686358099454
100 -1.63566149101047
