"surf-int-rfile"
"Iteration" "surf-int"
("Iteration" "surf-int")
1 -1.09102835024629
2 -1.594084852657225
3 -1.852734049029231
4 -1.995312762877541
5 -2.072263189804247
6 -2.11506223926828
7 -2.139053826930946
8 -2.152079734633254
9 -2.159341300801735
10 -2.163357043237678
11 -2.165683773357846
12 -2.167122271271654
13 -2.168169215947495
14 -2.168965770999666
15 -2.169570365088504
16 -2.169992925340315
17 -2.170306890938626
18 -2.170532462550442
19 -2.170716219083242
20 -2.170850414913102
21 -2.170950345775754
22 -2.171013681897087
23 -2.17105391891936
24 -2.171071894033172
25 -2.171078858434353
26 -2.171074786584632
27 -2.171066632293267
28 -2.1710554034648
29 -2.171045176885799
30 -2.171035769941308
31 -2.171028908511555
32 -2.171023677070007
33 -2.171020576172791
34 -2.171018593580378
35 -2.171017878067868
36 -2.171017616461381
37 -2.171017893500134
38 -2.171018207539232
39 -2.171018686900844
40 -2.171019049183934
41 -2.171019420392488
42 -2.171019651485484
43 -2.171019857001561
44 -2.171019956739187
45 -2.171020028327111
46 -2.171020038128403
47 -2.17102004008568
