"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 1117.584496182647
2 892.5660838746846
3 962.3435402516246
4 1046.649465323526
5 1099.218452915698
6 1102.55636748549
7 1087.905088691636
8 1061.188700384808
9 1057.41071803507
10 1069.199965456745
11 1092.553486170381
12 1115.864880315823
13 1131.487560126914
14 1136.344057046163
15 1135.909228552099
16 1139.073499749638
17 1163.250639707642
18 1217.368377949088
19 1303.414571631067
20 1418.646612538343
21 1556.76766332185
22 1707.228823697787
23 1866.824958461919
24 2027.340899444166
25 2179.778631662906
26 2316.460336530762
27 2430.216676072352
28 2514.723876650695
29 2572.97897388578
30 2602.304119381452
31 2608.834171790019
32 2597.418767851997
33 2576.72713298705
34 2550.872859571169
35 2520.077760941
36 2490.9048418946
37 2463.655664142887
38 2435.867025665493
39 2409.62859133846
40 2387.249112349379
41 2368.751332281372
42 2352.898083723102
43 2338.3852872577
44 2325.070616170921
45 2311.926035634765
46 2297.4169554406
47 2281.106055473723
48 2262.854451370524
49 2241.109362223479
50 2214.784559641213
51 2183.739569348959
52 2148.629381912468
53 2111.235855966293
54 2072.509458629641
55 2033.967028180189
56 1996.788416168678
57 1962.564588868627
58 1932.075783801446
59 1906.130533939041
60 1884.868887033055
61 1869.014238489066
62 1858.642529456853
63 1851.824270326531
64 1846.922891475217
65 1840.202394374988
66 1829.70321830028
67 1816.237064984645
68 1797.382907360671
69 1773.617057413661
70 1745.110412441495
71 1712.079723872038
72 1675.296819232354
73 1635.25978879596
74 1593.816585543935
75 1552.755827770372
76 1513.655976116471
77 1477.181932923866
78 1443.515048157957
79 1414.580314805751
80 1390.083785919886
81 1369.557174772927
82 1352.540216451353
83 1337.251483707145
84 1323.725812215104
85 1310.671555613264
86 1296.417769589596
87 1279.664856371744
88 1259.899072626652
89 1236.687505282241
90 1209.802811369838
91 1179.486629540955
92 1146.519522984582
93 1111.357555631613
94 1074.832984867405
95 1037.908464487468
96 1001.0421073721
97 965.4322164560809
98 932.3458619480671
99 902.3018065204029
100 875.2154562205207
