"surf-int-rfile"
"Iteration" "surf-int"
("Iteration" "surf-int")
1 -49911.27194781304
2 -51512.54619723418
3 -50980.26464323254
4 -49777.78831145246
5 -48491.75271746315
6 -47007.79939836537
7 -45185.7937422226
8 -43455.82078699564
9 -41854.07550012694
10 -40536.76763531754
11 -39511.11041884103
12 -38701.87488477653
13 -38044.0372897461
14 -37437.79578981373
15 -36852.17878715914
16 -36243.1582662219
17 -35602.44485676556
18 -34884.19395514207
19 -34096.09492688529
20 -33193.82134656866
21 -32187.77685820063
22 -31087.28174046148
23 -29932.19929460644
24 -28766.48162793108
25 -27595.60366505185
26 -26476.50031371049
27 -25420.77621639617
28 -24396.85631553431
29 -23430.80377628636
30 -22480.90879979262
31 -21608.17337325676
32 -20804.88056622499
33 -20069.40465478294
34 -19397.19480585031
35 -18767.18213626355
36 -18202.68416396264
37 -17662.17454435349
38 -17129.18059778271
39 -16624.02795933769
40 -16137.3704018305
41 -15671.50621704039
42 -15217.69917584039
43 -14776.61706709227
44 -14348.910138453
45 -13940.84648272884
46 -13545.17903444865
47 -13180.7644166701
48 -12825.97009321154
49 -12485.64004769501
50 -12163.18573175942
51 -11851.89750508515
52 -11558.55171059788
53 -11272.36220189163
54 -10997.01501976423
55 -10730.95398410733
56 -10467.59313704
57 -10202.3018054381
58 -9933.245710136915
59 -9662.094734032351
60 -9380.936900361732
61 -9097.838239159302
62 -8816.932821699054
63 -8532.341360127095
64 -8242.08704207675
65 -7953.401138159109
66 -7681.097993590563
67 -7407.436791756131
68 -7146.230166954381
69 -6892.249769144122
70 -6649.721086975416
71 -6426.791642601113
72 -6209.646114342255
73 -5993.810707506986
74 -5792.099741764818
75 -5597.542318735412
76 -5408.752056316579
77 -5232.680243833876
78 -5055.363639513852
79 -4891.995950641874
80 -4724.275978603655
81 -4560.989035412505
82 -4399.915725254307
83 -4244.609500561288
84 -4080.692125843942
85 -3934.17188716771
86 -3789.723399363866
87 -3638.128577257603
88 -3492.797704061559
89 -3351.817365517276
90 -3208.781897927068
91 -3069.070406662678
92 -2941.168914273833
93 -2802.491542977621
94 -2670.031843215668
95 -2543.627568125739
96 -2414.087511057348
97 -2291.130030601934
98 -2165.754249953353
99 -2053.753729720637
100 -1935.824862785676
